Sección,GRD,cuenta,precio_n,precio_min,precio_p25,precio_median,precio_mean,precio_p75,precio_max
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,"146121 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",613,613,502980.4204,502980.4204,502980.4204,502980.4204,502980.4204,502980.4204
O30-O48  ATENCIÓN MATERNA RELACIONADA CON EL FETO Y CAVIDAD AMNIÓTICA Y POSIBLES PROBLEMAS EN EL PARTO,146101 - PH CESÁREA,415,415,833986.5124,833986.5124,833986.5124,833986.5124000001,833986.5124,833986.5124
O80-O84  CONTACTO PARA EL PARTO,146131 - PH PARTO VAGINAL,365,365,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092,483243.0092
"K80-K87  TRASTORNOS DE LA VESÍCULA BILIAR, VÍAS BILIARES Y PÁNCREAS",071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,315,315,1417049.0518,1417049.0518,1417049.0518,1417049.0518,1417049.0518,1417049.0518
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,146101 - PH CESÁREA,264,264,833986.5124,833986.5124,833986.5124,833986.5124,833986.5124,833986.5124
K35-K38  ENFERMEDADES DEL APÉNDICE,061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,248,248,1196863.67,1196863.67,1196863.67,1196863.67,1196863.67,1196863.67
U00-U49  ASIGNACION PROVISIONAL DE NUEVAS ENFERMEDADES DE ETIOLOGIA INCIERTA,044153 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,242,242,2282850.0,2282850.0,2282850.0,2282850.0,2282850.0,2282850.0
J09-J18  GRIPE Y NEUMONÍA,044163 - MH NEUMONÍA SIMPLE Y TOS FERINA W/MCC,228,228,1549200.0,1549200.0,1549200.0,1549200.0,1549200.0,1549200.0
I30-I52  OTRAS FORMAS DE ENFERMEDAD CARDIACA,054123 - MH INSUFICIENCIA CARDIACA W/MCC,197,197,1512600.0,1512600.0,1512600.0,1512600.0,1512600.0,1512600.0
O00-O08  EMBARAZO CON RESULTADO ABORTIVO,"131111 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",196,196,845634.8206,845634.8206,845634.8206,845634.8206,845634.8206,845634.8206
O60-O77  COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO,"146122 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/CC",179,179,579665.1162,579665.1162,579665.1162,579665.1162,579665.1162,579665.1162
O20-O29  OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO,134161 - MH TRASTORNOS DEL ANTEPARTO,167,167,442650.0,442650.0,442650.0,442650.0,442650.0,442650.0
Z69-Z76  PERSONAS QUE ENTRAN EN CONTACTO CON LOS SERVICIOS SANITARIOS EN OTRAS CIRCUNSTANCIAS,"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",138,138,158250.0,158250.0,158250.0,158250.0,158250.0,158250.0
P50-P61  TRASTORNOS HEMORRÁGICOS Y HEMATOLÓGICOS DEL RECIÉN NACIDO,"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",134,134,158250.0,158250.0,158250.0,158250.0,158250.0,158250.0
