GRD,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,162,1.0,1196863.67,1196863.67,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,99,1.0,1417049.0518,1417049.0518,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,76,1.0,1417049.0518,1417049.0518,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,52,1.0,1417049.0518,1417049.0518,0.0
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,52,1.0,1644300.0,1644300.0,0.0
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,45,1.0,1757700.0,1757700.0,0.0
"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",45,1.0,1834650.0,1834650.0,0.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,38,1.0,1196863.67,1196863.67,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,36,1.0,1855963.777,1855963.777,0.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,35,1.0,1196863.67,1196863.67,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,35,1.0,1417049.0518,1417049.0518,0.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,32,1.0,1010400.0,1010400.0,0.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,31,1.0,1092999.5883,1092999.5883,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,31,1.0,730800.0,730800.0,0.0
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,30,1.0,1682533.4101,1682533.4101,0.0
"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",30,1.0,798450.0,798450.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,30,1.0,1855963.777,1855963.777,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,24,1.0,1417049.0518,1417049.0518,0.0
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,23,1.0,807150.0,807150.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,22,1.0,1855963.777,1855963.777,0.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,20,1.0,986870.5578,986870.5578,0.0
061142 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL W/CC,18,1.0,1466392.5797,1466392.5797,0.0
