Código,GRD_final,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
K35.8,06113,201,3.0,1196863.67,1798531.1461,601667.4761000001
K80.2,07114,151,3.0,1417049.0518,2691244.5458,1274195.494
K80.0,07114,118,3.0,1417049.0518,2691244.5458,1274195.494
K92.2,06418,115,3.0,730800.0,1644300.0,913500.0
K81.0,07114,81,3.0,1417049.0518,2691244.5458,1274195.494
K70.4,07410,63,3.0,778500.0,1757700.0,979200.0
K72.1,07413,57,2.0,1065150.0,1834650.0,769500.0
K80.8,07114,55,3.0,1417049.0518,2691244.5458,1274195.494
K35.3,06113,54,3.0,1196863.67,1798531.1461,601667.4761000001
K40.9,06114,50,3.0,1092999.5883,2495164.6907,1402165.1024000002
K37,06113,47,3.0,1196863.67,1798531.1461,601667.4761000001
K57.3,06413,44,3.0,798450.0,1542300.0,743850.0
K85.9,07412,40,3.0,807150.0,1862400.0,1055250.0
K80.5,07414,36,3.0,869850.0,1724250.0,854400.0
K85.1,07114,36,3.0,1417049.0518,2691244.5458,1274195.494
K43.9,06112,29,2.0,1313993.8805,1670237.9736,356244.09309999994
K61.0,06150,24,2.0,986870.5578,1438242.5015,451371.94370000006
K42.0,06112,21,3.0,1313993.8805,2755148.459,1441154.5784999998
K80.2,07414,21,3.0,869850.0,1724250.0,854400.0
K83.1,07414,20,3.0,869850.0,1724250.0,854400.0
K42.9,06112,19,3.0,1313993.8805,2755148.459,1441154.5784999998
K85.1,07412,18,3.0,807150.0,1862400.0,1055250.0
K62.5,06418,16,3.0,730800.0,1644300.0,913500.0
K35.2,06113,15,3.0,1196863.67,1798531.1461,601667.4761000001
K81.0,07414,15,3.0,869850.0,1724250.0,854400.0
K57.9,06413,14,2.0,798450.0,1020000.0,221550.0
K80.3,07114,14,2.0,1417049.0518,2691244.5458,1274195.494
K92.0,06418,13,3.0,730800.0,1644300.0,913500.0
K70.1,07410,11,3.0,778500.0,1757700.0,979200.0
K56.5,06111,10,3.0,1395370.256,3415704.6045,2020334.3484999998
K80.3,07414,10,3.0,869850.0,1724250.0,854400.0
K22.2,06412,9,3.0,688050.0,1498650.0,810600.0
K43.2,06112,9,2.0,1313993.8805,2755148.459,1441154.5784999998
K80.4,07114,9,3.0,1417049.0518,2691244.5458,1274195.494
K80.5,07114,9,3.0,1417049.0518,2691244.5458,1274195.494
K82.8,07114,9,2.0,1417049.0518,1855963.777,438914.7252
K83.0,07414,9,3.0,869850.0,1724250.0,854400.0
K85.8,07412,9,3.0,807150.0,1862400.0,1055250.0
K25.1,06120,8,2.0,2020657.9127,5767045.0451,3746387.1323999995
K59.0,06418,8,2.0,730800.0,1010400.0,279600.0
K80.0,07414,8,2.0,869850.0,1199100.0,329250.0
K40.3,06114,7,3.0,1092999.5883,2495164.6907,1402165.1024000002
K43.0,06112,7,2.0,1313993.8805,1670237.9736,356244.09309999994
K55.0,06414,7,3.0,938250.0,1768050.0,829800.0
K56.5,06415,7,3.0,712050.0,1518900.0,806850.0
K92.2,04120,7,3.0,1684636.5769,3417322.4251,1732685.8482000001
K21.9,06412,6,2.0,688050.0,950850.0,262800.0
